Type,Category,Region,Attack on
Friendly Action,Other,RC SOUTH,FRIEND
Friendly Action,MEDEVAC,UNKNOWN,FRIEND
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Friendly Action,Indirect Fire,RC SOUTH,FRIEND
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Suspicious Incident,Surveillance,RC EAST,ENEMY
Detainee Operations,Detained,RC EAST,UNKNOWN
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Friendly Action,MEDEVAC,RC EAST,FRIEND
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,Turn In,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,Mine Strike,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,Turn In,RC EAST,ENEMY
Detainee Operations,Detained,RC EAST,UNKNOWN
Friendly Action,Indirect Fire,RC EAST,FRIEND
Detainee Operations,Detained,RC EAST,UNKNOWN
Detainee Operations,Detained,RC EAST,UNKNOWN
Enemy Action,Indirect Fire,RC WEST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Project Closeout,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC NORTH,ENEMY
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Detainee Operations,Detained,RC EAST,UNKNOWN
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,MEDEVAC,RC SOUTH,FRIEND
Explosive Hazard,Turn In,RC SOUTH,ENEMY
Explosive Hazard,Turn In,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,Mine Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Ambush,RC SOUTH,ENEMY
Explosive Hazard,IED Ambush,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,Indirect Fire,RC EAST,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,Turn In,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Non-Combat Event,Accident,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC NORTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Friendly Action,Indirect Fire,RC EAST,FRIEND
Enemy Action,Direct Fire,RC EAST,ENEMY
Friendly Action,Indirect Fire,RC EAST,FRIEND
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC WEST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Other,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Enemy Action,Attack,RC EAST,ENEMY
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Other,Planned Event,RC EAST,NEUTRAL
Detainee Operations,Detained,RC SOUTH,UNKNOWN
Enemy Action,SAFIRE,RC SOUTH,ENEMY
Explosive Hazard,Turn In,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,Mine Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Friendly Action,MEDEVAC,RC EAST,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Detainee Operations,Detained,RC EAST,UNKNOWN
Enemy Action,Indirect Fire,RC EAST,ENEMY
Friendly Action,Other,RC SOUTH,FRIEND
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Detainee Operations,Transfer,RC EAST,UNKNOWN
Detainee Operations,Detained,RC EAST,UNKNOWN
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Project Closeout,RC WEST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Enemy Action,Assassination,RC EAST,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Project Start,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Other,RC EAST,NEUTRAL
Non-Combat Event,Other,RC EAST,NEUTRAL
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC CAPITAL,ENEMY
Detainee Operations,Detained,RC SOUTH,UNKNOWN
Friendly Action,MEDEVAC,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC CAPITAL,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Enemy Action,ATTACK,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Enemy Action,SAFIRE,RC EAST,ENEMY
Friendly Action,Direct Fire,RC CAPITAL,FRIEND
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Friendly Action,Other,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Friendly Action,Indirect Fire,RC EAST,FRIEND
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Snow and Ice Removal,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Other,RC WEST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Other,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC EAST,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Detainee Operations,Detained,RC EAST,UNKNOWN
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Friendly Action,MEDEVAC,RC SOUTH,FRIEND
Enemy Action,Indirect Fire,RC EAST,ENEMY
Friendly Action,MEDEVAC (Local National),RC SOUTH,FRIEND
Explosive Hazard,Unexploded Ordnance,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Detainee Operations,Detained,RC WEST,UNKNOWN
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Detainee Operations,Detained,RC EAST,UNKNOWN
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Friendly Action,Direct Fire,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,Other,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Accident,RC SOUTH,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Explosive Hazard,Turn In,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC WEST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Friendly Action,MEDEVAC,RC EAST,FRIEND
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Other,Planned Event,RC CAPITAL,NEUTRAL
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,Mine Found/Cleared,RC EAST,ENEMY
Detainee Operations,Released,RC EAST,UNKNOWN
Detainee Operations,Released,RC EAST,UNKNOWN
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,Turn In,RC SOUTH,ENEMY
Detainee Operations,Released,RC EAST,UNKNOWN
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Enemy Action,Direct Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Friendly Action,Indirect Fire,RC SOUTH,FRIEND
Friendly Action,Other,RC EAST,FRIEND
Enemy Action,SAFIRE,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Friendly Action,Indirect Fire,RC EAST,FRIEND
Non-Combat Event,Other,RC EAST,NEUTRAL
Detainee Operations,Detained,RC SOUTH,UNKNOWN
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Friendly Action,MEDEVAC,RC CAPITAL,FRIEND
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Explosive Hazard,Premature Detonation,RC EAST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Friendly Action,MEDEVAC,RC CAPITAL,FRIEND
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Friendly Action,Detain,RC EAST,FRIEND
Enemy Action,Direct Fire,UNKNOWN,ENEMY
Explosive Hazard,IED Found/Cleared,UNKNOWN,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Friendly Action,Indirect Fire,RC SOUTH,FRIEND
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Friendly Action,MEDEVAC (Local National),RC EAST,FRIEND
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,Mine Strike,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC WEST,ENEMY
Friendly Action,MEDEVAC,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,Turn In,RC SOUTH,ENEMY
Other,Other,RC SOUTH,NEUTRAL
Explosive Hazard,Interdiction,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,Turn In,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Criminal Event,Vandalism,RC EAST,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Explosive Hazard,Turn In,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,ANP Training,RC EAST,NEUTRAL
Non-Combat Event,Other,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC WEST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC CAPITAL,ENEMY
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Detainee Operations,Released,RC EAST,UNKNOWN
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Detainee Operations,Detained,RC EAST,UNKNOWN
Friendly Action,MEDEVAC (Local National),RC SOUTH,FRIEND
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Explosive Hazard,Turn In,RC SOUTH,ENEMY
Detainee Operations,Detained,RC EAST,UNKNOWN
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Detainee Operations,Detained,RC EAST,UNKNOWN
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Friendly Action,Other,RC EAST,FRIEND
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Non-Combat Event,Project Closeout,RC EAST,NEUTRAL
Explosive Hazard,IED Explosion,RC NORTH,ENEMY
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Other,RC WEST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC WEST,ENEMY
Non-Combat Event,Other,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Direct Fire,UNKNOWN,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Explosive Hazard,Mine Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC WEST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Friendly Action,MEDEVAC,RC EAST,FRIEND
Explosive Hazard,IED Found/Cleared,RC WEST,ENEMY
Explosive Hazard,IED Found/Cleared,RC WEST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Friendly Action,Cache Found/Cleared,RC SOUTH,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Friendly Action,Indirect Fire,RC EAST,FRIEND
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Friendly Action,Direct Fire,RC EAST,FRIEND
Enemy Action,Attack,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Friendly Action,MEDEVAC,RC EAST,FRIEND
Enemy Action,Direct Fire,RC EAST,ENEMY
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Enemy Action,Indirect Fire,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Enemy Action,Ambush,RC WEST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Non-Combat Event,QA/QC Project,RC NORTH,NEUTRAL
Non-Combat Event,QA/QC Project,RC EAST,NEUTRAL
Non-Combat Event,Project Closeout,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC WEST,NEUTRAL
Explosive Hazard,UNEXPLODED ORDNANCE,RC NORTH,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Detainee Operations,Detained,RC SOUTH,UNKNOWN
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Enemy Action,Direct Fire,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Explosive Hazard,IED Explosion,RC CAPITAL,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC SOUTH,ENEMY
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Enemy Action,Indirect Fire,RC EAST,ENEMY
Friendly Action,Direct Fire,RC SOUTH,FRIEND
Friendly Action,MEDEVAC,RC EAST,FRIEND
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,UNEXPLODED ORDNANCE,RC EAST,ENEMY
Detainee Operations,Released,RC EAST,UNKNOWN
Explosive Hazard,IED Found/Cleared,RC CAPITAL,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Detainee Operations,Detained,RC SOUTH,UNKNOWN
Explosive Hazard,IED Found/Cleared,RC SOUTH,ENEMY
Friendly Fire,ANA-on-ANP,RC SOUTH,FRIEND
Enemy Action,Indirect Fire,RC EAST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Enemy Action,Indirect Fire,RC EAST,ENEMY
Friendly Action,Cache Found/Cleared,RC EAST,FRIEND
Enemy Action,Direct Fire,RC SOUTH,ENEMY
Enemy Action,Indirect Fire,RC SOUTH,ENEMY
Explosive Hazard,IED Explosion,RC EAST,ENEMY
Suspicious Incident,Surveillance,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Development,RC EAST,NEUTRAL
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Non-Combat Event,QA/QC Project,RC WEST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Enemy Action,Direct Fire,RC EAST,ENEMY
Non-Combat Event,Meeting - Security,RC EAST,NEUTRAL
Explosive Hazard,IED Found/Cleared,RC EAST,ENEMY
Non-Combat Event,Meeting,RC EAST,NEUTRAL
Non-Combat Event,OTHER,RC EAST,NEUTRAL
Enemy Action,Attack,RC SOUTH,ENEMY
